DATE,WM2NS
2013-02-11,10486.9
2013-02-18,10480.5
2013-02-25,10448.6
2013-03-04,10572.1
2013-03-11,10599.3
2013-03-18,10627.2
2013-03-25,10581.9
2013-04-01,10720.4
2013-04-08,10719.5
2013-04-15,10740.2
2013-04-22,10629.3
2013-04-29,10531.7
2013-05-06,10593.3
2013-05-13,10598.1
2013-05-20,10570.9
2013-05-27,10539.1
2013-06-03,10634.0
2013-06-10,10667.6
2013-06-17,10673.5
2013-06-24,10560.2
2013-07-01,10670.7
2013-07-08,10706.1
2013-07-15,10702.3
2013-07-22,10660.8
2013-07-29,10647.7
2013-08-05,10749.7
2013-08-12,10749.4
2013-08-19,10727.8
2013-08-26,10697.4
2013-09-02,10775.1
2013-09-09,10815.8
2013-09-16,10821.5
2013-09-23,10757.9
2013-09-30,10827.1
2013-10-07,10902.6
2013-10-14,10955.6
2013-10-21,10976.2
2013-10-28,10896.8
2013-11-04,10977.7
2013-11-11,10960.9
2013-11-18,10983.0
2013-11-25,10941.3
2013-12-02,11029.4
2013-12-09,11073.3
2013-12-16,11098.0
2013-12-23,11116.8
2013-12-30,11128.3
2014-01-06,11179.0
2014-01-13,11131.1
2014-01-20,11100.9
2014-01-27,11033.2
2014-02-03,11089.1
2014-02-10,11138.3
2014-02-17,11187.0
2014-02-24,11135.6
2014-03-03,11207.4
2014-03-10,11261.1
2014-03-17,11299.7
2014-03-24,11257.6
2014-03-31,11304.2
2014-04-07,11381.4
2014-04-14,11405.1
2014-04-21,11344.5
2014-04-28,11220.6
2014-05-05,11274.3
2014-05-12,11275.3
2014-05-19,11268.0
2014-05-26,11240.7
2014-06-02,11335.3
2014-06-09,11353.6
2014-06-16,11370.0
2014-06-23,11279.8
2014-06-30,11332.9
2014-07-07,11415.5
2014-07-14,11412.4
2014-07-21,11382.9
2014-07-28,11353.4
2014-08-04,11450.8
2014-08-11,11420.8
2014-08-18,11431.7
2014-08-25,11373.5
2014-09-01,11432.4
2014-09-08,11485.7
2014-09-15,11506.0
2014-09-22,11427.3
2014-09-29,11441.2
2014-10-06,11547.1
2014-10-13,11547.5
2014-10-20,11560.2
2014-10-27,11516.3
2014-11-03,11565.7
2014-11-10,11612.1
2014-11-17,11633.7
2014-11-24,11571.1
2014-12-01,11659.8
2014-12-08,11715.7
2014-12-15,11755.5
2014-12-22,11774.6
2014-12-29,11789.7
2015-01-05,11820.4
2015-01-12,11797.6
2015-01-19,11752.4
2015-01-26,11677.4
2015-02-02,11778.6
2015-02-09,11811.8
2015-02-16,11854.8
2015-02-23,11840.5
2015-03-02,11918.4
2015-03-09,11946.9
2015-03-16,11979.0
2015-03-23,11923.4
2015-03-30,11960.9
2015-04-06,12113.2
2015-04-13,12091.5
2015-04-20,12034.3
2015-04-27,11852.8
2015-05-04,11898.0
2015-05-11,11904.9
2015-05-18,11919.2
2015-05-25,11873.4
2015-06-01,11932.7
2015-06-08,11969.8
2015-06-15,11985.5
2015-06-22,11930.0
2015-06-29,11947.4
2015-07-06,12080.6
2015-07-13,12035.2
2015-07-20,11998.6
2015-07-27,11949.6
2015-08-03,12034.7
2015-08-10,12063.6
2015-08-17,12096.8
2015-08-24,12041.3
2015-08-31,12076.4
2015-09-07,12161.1
2015-09-14,12187.3
2015-09-21,12133.7
2015-09-28,12074.0
2015-10-05,12171.1
2015-10-12,12160.6
2015-10-19,12167.4
2015-10-26,12132.9
2015-11-02,12249.4
2015-11-09,12291.9
2015-11-16,12323.5
2015-11-23,12270.8
2015-11-30,12304.6
2015-12-07,12369.4
2015-12-14,12406.6
2015-12-21,12461.7
2015-12-28,12453.0
2016-01-04,12486.2
2016-01-11,12541.3
2016-01-18,12497.2
2016-01-25,12412.0
2016-02-01,12454.7
2016-02-08,12467.4
2016-02-15,12533.9
2016-02-22,12520.9
2016-02-29,12549.1
2016-03-07,12647.2
2016-03-14,12671.0
2016-03-21,12673.3
2016-03-28,12723.6
2016-04-04,12814.2
2016-04-11,12828.9
2016-04-18,12839.9
2016-04-25,12683.1
2016-05-02,12699.2
2016-05-09,12719.6
2016-05-16,12735.6
2016-05-23,12689.0
2016-05-30,12676.4
2016-06-06,12789.9
2016-06-13,12829.4
2016-06-20,12797.6
2016-06-27,12727.5
2016-07-04,12857.6
2016-07-11,12856.3
2016-07-18,12858.5
2016-07-25,12793.1
2016-08-01,12885.4
2016-08-08,12959.0
2016-08-15,12963.8
2016-08-22,12935.0
2016-08-29,12916.5
2016-09-05,13026.3
2016-09-12,13068.9
2016-09-19,13025.9
2016-09-26,12932.8
2016-10-03,13043.9
2016-10-10,13095.5
2016-10-17,13115.3
2016-10-24,13025.1
2016-10-31,13076.0
2016-11-07,13158.6
2016-11-14,13204.1
2016-11-21,13215.4
2016-11-28,13184.9
2016-12-05,13259.5
2016-12-12,13281.1
2016-12-19,13301.8
2016-12-26,13296.0
2017-01-02,13346.1
2017-01-09,13369.2
2017-01-16,13333.9
2017-01-23,13234.4
2017-01-30,13180.5
2017-02-06,13277.6
2017-02-13,13297.7
2017-02-20,13300.5
2017-02-27,13322.6
2017-03-06,13448.1
2017-03-13,13502.1
2017-03-20,13501.3
2017-03-27,13470.1
2017-04-03,13581.8
2017-04-10,13632.5
2017-04-17,13673.2
2017-04-24,13468.6
2017-05-01,13449.4
2017-05-08,13472.0
2017-05-15,13490.5
2017-05-22,13467.2
2017-05-29,13453.2
2017-06-05,13554.8
2017-06-12,13548.3
2017-06-19,13527.9
2017-06-26,13449.4
2017-07-03,13562.0
2017-07-10,13617.5
2017-07-17,13607.2
2017-07-24,13522.7
2017-07-31,13580.1
2017-08-07,13669.8
2017-08-14,13661.0
2017-08-21,13656.5
2017-08-28,13625.6
2017-09-04,13716.4
2017-09-11,13745.0
2017-09-18,13721.4
2017-09-25,13613.7
2017-10-02,13738.2
2017-10-09,13778.1
2017-10-16,13789.0
2017-10-23,13704.6
2017-10-30,13711.2
2017-11-06,13822.2
2017-11-13,13825.5
2017-11-20,13821.2
2017-11-27,13803.6
2017-12-04,13878.3
2017-12-11,13935.0
2017-12-18,13965.8
2017-12-25,13934.4
2018-01-01,13962.7
2018-01-08,13969.3
2018-01-15,13920.3
2018-01-22,13823.5
2018-01-29,13745.1
2018-02-05,13839.2
2018-02-12,13835.0
2018-02-19,13841.9
2018-02-26,13841.0
2018-03-05,13993.0
2018-03-12,14015.2
2018-03-19,14018.9
2018-03-26,13994.3
2018-04-02,14151.3
2018-04-09,14148.5
2018-04-16,14169.7
2018-04-23,14008.6
2018-04-30,13915.7
2018-05-07,13975.4
2018-05-14,13991.8
2018-05-21,13976.1
2018-05-28,13958.9
2018-06-04,14080.9
2018-06-11,14091.2
2018-06-18,14108.4
2018-06-25,13987.3
2018-07-02,14112.3
2018-07-09,14149.7
2018-07-16,14140.3
2018-07-23,14058.1
2018-07-30,14069.7
2018-08-06,14169.2
2018-08-13,14177.5
2018-08-20,14166.7
2018-08-27,14130.4
2018-09-03,14222.0
2018-09-10,14227.0
2018-09-17,14233.1
2018-09-24,14113.1
2018-10-01,14202.0
2018-10-08,14213.3
2018-10-15,14243.1
2018-10-22,14189.0
2018-10-29,14152.2
2018-11-05,14243.1
2018-11-12,14232.9
2018-11-19,14271.1
2018-11-26,14221.3
2018-12-03,14349.5
2018-12-10,14393.2
2018-12-17,14414.7
2018-12-24,14482.4
2018-12-31,14529.5
2019-01-07,14533.9
2019-01-14,14485.4
2019-01-21,14393.7
2019-01-28,14324.5
2019-02-04,14389.3
2019-02-11,14393.8
2019-02-18,14393.7
2019-02-25,14373.7
2019-03-04,14519.1
2019-03-11,14561.9
2019-03-18,14571.7
2019-03-25,14532.7
2019-04-01,14652.3
2019-04-08,14700.3
2019-04-15,14722.7
2019-04-22,14590.0
2019-04-29,14475.5
2019-05-06,14553.0
2019-05-13,14551.0
2019-05-20,14575.9
2019-05-27,14565.3
2019-06-03,14697.1
2019-06-10,14738.6
2019-06-17,14779.2
2019-06-24,14659.0
2019-07-01,14778.0
2019-07-08,14854.4
2019-07-15,14810.0
2019-07-22,14777.7
2019-07-29,14789.1
2019-08-05,14923.6
2019-08-12,14906.6
2019-08-19,14893.2
2019-08-26,14831.4
2019-09-02,14946.3
2019-09-09,14997.4
2019-09-16,15002.7
2019-09-23,14933.2
2019-09-30,15012.9
2019-10-07,15113.9
2019-10-14,15125.5
2019-10-21,15116.7
2019-10-28,15077.4
2019-11-04,15219.6
2019-11-11,15222.3
2019-11-18,15281.7
2019-11-25,15231.3
2019-12-02,15326.6
2019-12-09,15336.8
2019-12-16,15427.8
2019-12-23,15440.9
2019-12-30,15452.4
2020-01-06,15484.9
2020-01-13,15452.8
2020-01-20,15406.7
2020-01-27,15294.0
2020-02-03,15358.3
2020-02-10,15361.7
2020-02-17,15392.9
2020-02-24,15328.1
2020-03-02,15488.6
2020-03-09,15624.4
2020-03-16,15818.1
2020-03-23,16193.0
2020-03-30,16614.3
2020-04-06,16773.1
2020-04-13,16919.6
2020-04-20,17180.3
2020-04-27,17318.7
2020-05-04,17536.3
2020-05-11,17673.8
2020-05-18,17805.4
2020-05-25,17780.1
2020-06-01,17910.9
2020-06-08,18022.7
2020-06-15,18110.7
2020-06-22,18101.2
2020-06-29,18155.5
2020-07-06,18338.6
2020-07-13,18341.8
2020-07-20,18240.3
2020-07-27,18108.3
2020-08-03,18220.4
2020-08-10,18286.9
2020-08-17,18356.5
2020-08-24,18257.4
2020-08-31,18376.9
2020-09-07,18512.7
2020-09-14,18596.7
2020-09-21,18550.0
2020-09-28,18488.3
2020-10-05,18632.7
2020-10-12,18646.0
2020-10-19,18702.3
2020-10-26,18640.9
2020-11-02,18829.5
2020-11-09,18910.0
2020-11-16,18993.5
2020-11-23,18969.1
2020-11-30,19049.9
2020-12-07,19156.4
2020-12-14,19206.5
2020-12-21,19260.6
2020-12-28,19292.2
2021-01-04,19359.7
2021-01-11,19423.7
2021-01-18,19396.2
2021-01-25,19278.8
2021-02-01,19384.0
2021-02-08,19418.8
2021-02-15,19528.0
2021-02-22,19540.8
2021-03-01,19627.6
2021-03-08,19721.2
2021-03-15,19857.9
2021-03-22,20035.8
2021-03-29,20111.5
2021-04-05,20315.8
2021-04-12,20305.9
2021-04-19,20298.8
2021-04-26,20145.2
2021-05-03,20270.9
2021-05-10,20351.1
2021-05-17,20408.2
2021-05-24,20228.8
2021-05-31,20276.4
2021-06-07,20420.4
2021-06-14,20505.2
2021-06-21,20409.9
2021-06-28,20362.8
2021-07-05,20539.2
2021-07-12,20535.2
2021-07-19,20564.7
2021-07-26,20516.6
2021-08-02,20643.2
2021-08-09,20702.3
2021-08-16,20772.9
2021-08-23,20747.3
2021-08-30,20779.2
2021-09-06,20920.5
2021-09-13,20965.8
2021-09-20,20920.1
2021-09-27,20829.7
2021-10-04,21036.1
2021-10-11,21060.7
2021-10-18,21137.0
2021-10-25,21025.4
2021-11-01,21169.8
2021-11-08,21252.0
2021-11-15,21317.1
2021-11-22,21345.6
2021-11-29,21374.2
2021-12-06,21518.1
2021-12-13,21574.2
2021-12-20,21699.0
2021-12-27,21743.3
2022-01-03,21718.3
2022-01-10,21732.7
2022-01-17,21706.7
2022-01-24,21521.9
2022-01-31,21511.5
2022-02-07,21548.8
2022-02-14,21561.3
2022-02-21,21564.8
2022-02-28,21650.0
2022-03-07,21804.1
2022-03-14,21854.9
2022-03-21,21857.2
2022-03-28,21845.7
2022-04-04,21991.3
2022-04-11,21978.7
2022-04-18,22051.9
2022-04-25,21603.6
2022-05-02,21610.1
2022-05-09,21547.4
2022-05-16,21579.7
2022-05-23,21535.2
2022-05-30,21522.2
2022-06-06,21623.5
2022-06-13,21598.1
2022-06-20,21555.1
2022-06-27,21529.0
2022-07-04,21625.9
2022-07-11,21594.4
2022-07-18,21572.1
2022-07-25,21524.0
2022-08-01,21595.3
2022-08-08,21582.0
2022-08-15,21598.1
2022-08-22,21542.8
2022-08-29,21477.3
2022-09-05,21541.9
2022-09-12,21540.6
2022-09-19,21488.8
2022-09-26,21360.1
2022-10-03,21437.5
2022-10-10,21392.7
2022-10-17,21444.0
2022-10-24,21302.5
2022-10-31,21354.5
2022-11-07,21380.6
2022-11-14,21387.5
2022-11-21,21387.9
2022-11-28,21344.0
2022-12-05,21410.5
2022-12-12,21403.8
2022-12-19,21416.3
2022-12-26,21388.0
2023-01-02,21349.8
2023-01-09,21404.2
2023-01-16,21319.7
2023-01-23,21168.5
2023-01-30,21078.0
2023-02-06,21149.1
